"customer_id","company_name","industry","company_size","country_code","timezone","subscription_id","subscription_status","plan_id","mrr_usd","start_date","end_date","billing_cycle","cancellation_reason","plan_name","plan_tier","monthly_price_usd"
1,"Rush Platform","E-commerce","small","FR","Europe/Paris",1,"cancelled",1,0.00,"2023-01-31","2023-04-20","annual","Missing features","Free","free",0.00
1,"Rush Platform","E-commerce","small","FR","Europe/Paris",2,"cancelled",5,44.25,"2023-04-20","2024-02-26","annual","Switched competitor","Professional Plus","professional",59.00
2,"TrekStack","Manufacturing","small","CA","America/Toronto",3,"paused",1,0.00,"2023-06-09",NULL,"monthly",NULL,"Free","free",0.00
3,"Wave Group","Education","enterprise","US","America/New_York",4,"active",1,0.00,"2023-10-28",NULL,"annual",NULL,"Free","free",0.00
4,"KeenSoftware","Technology","large","GB","Europe/London",5,"expired",1,0.00,"2024-04-09","2024-08-10","annual","Budget cuts","Free","free",0.00
4,"KeenSoftware","Technology","large","GB","Europe/London",6,"active",6,82.50,"2024-08-10",NULL,"annual",NULL,"Enterprise","enterprise",99.00
5,"QuestAnalytics","Logistics","large","US","America/Chicago",7,"cancelled",1,0.00,"2023-10-04","2024-10-01","monthly","Missing features","Free","free",0.00
5,"QuestAnalytics","Logistics","large","US","America/Chicago",8,"active",3,15.83,"2024-10-01",NULL,"annual",NULL,"Starter Plus","starter",19.00
6,"RiftWorks","Insurance","small","GB","Europe/London",9,"paused",1,0.00,"2025-08-23",NULL,"monthly",NULL,"Free","free",0.00
7,"PeakIO","Telecommunications","large","CA","America/Toronto",10,"active",1,0.00,"2024-08-21",NULL,"annual",NULL,"Free","free",0.00
8,"Data Systems","Finance","large","US","America/Los_Angeles",11,"active",1,0.00,"2024-04-24",NULL,"monthly",NULL,"Free","free",0.00
9,"Iris Hub","Education","enterprise","SG","Asia/Singapore",12,"active",1,0.00,"2025-06-15",NULL,"annual",NULL,"Free","free",0.00
10,"GlowSystems","Education","enterprise","SG","Asia/Singapore",13,"active",5,59.00,"2025-03-08",NULL,"monthly",NULL,"Professional Plus","professional",59.00
11,"Xenon Cloud","E-commerce","small","GB","Europe/London",14,"active",2,7.50,"2024-06-29",NULL,"annual",NULL,"Starter","starter",12.00
12,"QuarkDev","Manufacturing","small","JP","Asia/Tokyo",15,"active",6,99.00,"2024-10-27",NULL,"monthly",NULL,"Enterprise","enterprise",99.00
13,"Vertex Labs","Real Estate","medium","GB","Europe/London",16,"cancelled",1,0.00,"2025-07-16","2025-09-16","monthly","Switched competitor","Free","free",0.00
14,"Keen Ventures","Consulting","small","CA","America/Toronto",17,"cancelled",1,0.00,"2024-02-25","2025-01-03","annual","Too expensive","Free","free",0.00
14,"Keen Ventures","Consulting","small","CA","America/Toronto",18,"cancelled",5,59.00,"2025-01-03","2025-05-17","monthly","Missing features","Professional Plus","professional",59.00
14,"Keen Ventures","Consulting","small","CA","America/Toronto",19,"active",6,74.25,"2025-05-17",NULL,"annual",NULL,"Enterprise","enterprise",99.00
15,"DataLogic","Insurance","enterprise","US","America/Chicago",20,"active",2,12.00,"2024-04-18",NULL,"monthly",NULL,"Starter","starter",12.00
16,"Iris Labs","Healthcare","enterprise","GB","Europe/London",21,"active",2,10.00,"2023-06-18",NULL,"annual",NULL,"Starter","starter",12.00
17,"DriftCloud","Legal","enterprise","JP","Asia/Tokyo",22,"cancelled",2,10.20,"2024-08-16","2024-12-16","monthly","Missing features","Starter","starter",12.00
17,"DriftCloud","Legal","enterprise","JP","Asia/Tokyo",23,"cancelled",5,49.17,"2024-12-16","2025-04-02","annual","Not using it","Professional Plus","professional",59.00
17,"DriftCloud","Legal","enterprise","JP","Asia/Tokyo",24,"active",2,9.60,"2025-04-02",NULL,"monthly",NULL,"Starter","starter",12.00
18,"LinkIO","Retail","medium","US","America/Los_Angeles",25,"active",4,39.00,"2025-06-01",NULL,"monthly",NULL,"Professional","professional",39.00
19,"Flow Corp","Logistics","medium","BR","America/Sao_Paulo",26,"expired",3,15.83,"2024-02-10","2025-01-26","annual","Missing features","Starter Plus","starter",19.00
19,"Flow Corp","Logistics","medium","BR","America/Sao_Paulo",27,"cancelled",4,32.50,"2025-01-26","2025-07-25","annual",NULL,"Professional","professional",39.00
20,"AcmeHQ","Real Estate","small","US","America/Chicago",28,"active",6,82.50,"2025-06-19",NULL,"annual",NULL,"Enterprise","enterprise",99.00
21,"NexusStack","Logistics","enterprise","JP","Asia/Tokyo",29,"active",4,39.00,"2023-04-20",NULL,"monthly",NULL,"Professional","professional",39.00
22,"Onyx Analytics","Media","medium","DE","Europe/Berlin",30,"active",5,49.17,"2023-12-08",NULL,"annual",NULL,"Professional Plus","professional",59.00
23,"KitePro","Legal","medium","JP","Asia/Tokyo",31,"cancelled",6,82.50,"2025-05-04","2025-09-11","annual","Not using it","Enterprise","enterprise",99.00
23,"KitePro","Legal","medium","JP","Asia/Tokyo",32,"cancelled",1,0.00,"2025-09-11","2025-11-10","monthly","Not using it","Free","free",0.00
23,"KitePro","Legal","medium","JP","Asia/Tokyo",33,"active",3,15.83,"2025-11-10",NULL,"annual",NULL,"Starter Plus","starter",19.00
24,"TidalStudio","Insurance","enterprise","US","America/New_York",34,"active",3,15.83,"2025-06-24",NULL,"annual",NULL,"Starter Plus","starter",19.00
25,"PulseSolutions","Insurance","small","AU","Australia/Sydney",35,"active",1,0.00,"2025-06-03",NULL,"monthly",NULL,"Free","free",0.00
26,"YieldAI","E-commerce","small","CA","America/Toronto",36,"cancelled",4,33.15,"2023-07-17","2023-12-01","monthly","Too expensive","Professional","professional",39.00
26,"YieldAI","E-commerce","small","CA","America/Toronto",37,"active",6,99.00,"2023-12-01",NULL,"monthly",NULL,"Enterprise","enterprise",99.00
27,"WaveStack","Logistics","enterprise","JP","Asia/Tokyo",38,"cancelled",1,0.00,"2023-09-29","2024-04-14","monthly","Switched competitor","Free","free",0.00
27,"WaveStack","Logistics","enterprise","JP","Asia/Tokyo",39,"expired",3,19.00,"2024-04-14","2024-09-22","monthly","Not using it","Starter Plus","starter",19.00
27,"WaveStack","Logistics","enterprise","JP","Asia/Tokyo",40,"cancelled",4,32.50,"2024-09-22","2025-02-03","annual","Switched competitor","Professional","professional",39.00
28,"Keen Software","Education","small","FR","Europe/Paris",41,"cancelled",3,14.25,"2023-03-13","2024-01-12","monthly",NULL,"Starter Plus","starter",19.00
28,"Keen Software","Education","small","FR","Europe/Paris",42,"active",3,19.00,"2024-01-12",NULL,"monthly",NULL,"Starter Plus","starter",19.00
29,"QuestSystems","Education","medium","DE","Europe/Berlin",43,"expired",2,10.00,"2024-03-06","2024-12-20","annual","Missing features","Starter","starter",12.00
29,"QuestSystems","Education","medium","DE","Europe/Berlin",44,"expired",3,19.00,"2024-12-20","2025-06-05","monthly","Company reorganization","Starter Plus","starter",19.00
29,"QuestSystems","Education","medium","DE","Europe/Berlin",45,"active",5,49.17,"2025-06-05",NULL,"annual",NULL,"Professional Plus","professional",59.00
30,"NexusVentures","Media","enterprise","US","America/New_York",46,"active",2,12.00,"2024-04-21",NULL,"monthly",NULL,"Starter","starter",12.00
31,"VineSolutions","Education","medium","SG","Asia/Singapore",47,"active",4,39.00,"2023-08-19",NULL,"monthly",NULL,"Professional","professional",39.00
32,"Arc Stack","Real Estate","small","FR","Europe/Paris",48,"active",3,15.83,"2025-05-31",NULL,"annual",NULL,"Starter Plus","starter",19.00
33,"SageDev","Media","small","US","America/Chicago",49,"active",5,59.00,"2025-08-30",NULL,"monthly",NULL,"Professional Plus","professional",59.00
