"ticket_id","customer_id","member_id","category","priority","status","subject","created_at","first_response_at","resolved_at","satisfaction_score","escalated","tags"
1,518,6603,"data_export","high","open","Account merge request","2025-05-19 03:43:53",NULL,NULL,NULL,True,NULL
2,810,NULL,"technical","medium","closed","Custom workflow automation broken","2025-09-22 07:22:01","2025-09-25 00:22:01","2025-09-27 07:22:01",4,False,"training,onboarding,gdpr"
3,1080,NULL,"onboarding","high","in_progress","Need help with API authentication","2025-10-29 11:11:29","2025-10-29 21:11:29",NULL,NULL,False,"integration"
4,1009,NULL,"technical","medium","open","Time tracking sync issues","2025-02-03 09:09:03",NULL,NULL,NULL,False,"onboarding,bug,security,integration"
5,840,NULL,"technical","medium","waiting_on_customer","SSO configuration help needed","2024-04-03 13:09:04","2024-04-03 20:09:04",NULL,NULL,False,NULL
6,1186,NULL,"feature_request","medium","resolved","Slow loading on project boards","2025-01-10 21:00:19","2025-01-13 08:00:19","2025-01-17 07:00:19",NULL,False,"performance"
7,490,6234,"technical","low","open","API rate limiting issues","2025-08-31 23:38:34",NULL,NULL,NULL,False,"integration, gdpr, documentation"
8,294,3951,"performance","medium","resolved","Export failing for large datasets","2025-09-07 08:38:29","2025-09-09 08:38:29","2025-09-09 22:38:29",NULL,False,"enterprise;bug;performance;technical;enterprise"
9,166,2446,"account","high","in_progress","Time tracking sync issues","2025-10-14 09:58:39","2025-10-14 21:58:39",NULL,NULL,False,"migration;gdpr;security"
10,1132,NULL,"security","medium","resolved","Permission settings not saving","2025-05-18 23:21:39","2025-05-20 03:21:39","2025-05-20 14:21:39",2,False,"gdpr;export"
11,775,NULL,"technical","low","waiting_on_customer","Cannot downgrade plan","2024-01-22 15:31:34","2024-01-25 15:31:34",NULL,NULL,False,"training , export , onboarding"
12,394,5019,"data_export","low","resolved","Need help with API authentication","2025-10-26 20:05:22","2025-10-29 17:05:22","2025-11-05 15:05:22",5,False,"training"
13,396,5055,"technical","medium","open","Custom workflow automation broken","2025-04-30 23:24:52",NULL,NULL,NULL,False,"enterprise , mobile , urgent , bug"
14,1145,NULL,"security","high","in_progress","Account merge request","2025-04-21 04:07:44","2025-04-21 07:07:44",NULL,NULL,False,"mobile;onboarding;export;migration"
